epoca,accuracy,loss,val_accuracy,val_loss,val_balanced_accuracy
1,0.6742424368858337,0.7613334059715271,0.3526785671710968,1.2961698770523071,0.5034092696187459
2,0.7616341710090637,0.586888313293457,0.5446428656578064,0.8986705541610718,0.5872280497759483
3,0.7949134111404419,0.5170899033546448,0.6235119104385376,0.851312518119812,0.5908671429168966
4,0.8281926512718201,0.4411036968231201,0.625,0.9277498126029968,0.6391254705834112
5,0.8614718317985535,0.365660160779953,0.6041666865348816,1.0009933710098267,0.6298244446015263
6,0.8704004287719727,0.3384701907634735,0.4985119104385376,1.2791906595230103,0.5877619453892187
7,0.8744588494300842,0.32475748658180237,0.6220238208770752,0.7825753092765808,0.6137350628409567
8,0.897456705570221,0.2747752070426941,0.663690447807312,0.866974949836731,0.5983285304646536
9,0.9077380895614624,0.23984846472740173,0.632440447807312,1.1936770677566528,0.6320091151305798
10,0.9101731777191162,0.227981835603714,0.6666666865348816,1.1114505529403687,0.637423461415311
11,0.9145021438598633,0.21109384298324585,0.6815476417541504,0.9391533732414246,0.6058717010301464
12,0.9212662577629089,0.192458376288414,0.6577380895614624,1.025078296661377,0.6048551440559227
13,0.9342532753944397,0.16720736026763916,0.6413690447807312,1.0369021892547607,0.5919537930972759
14,0.9434523582458496,0.15023517608642578,0.6473214030265808,1.140647530555725,0.5224168119217082
15,0.9285714030265808,0.17129656672477722,0.6145833134651184,1.0063650608062744,0.576170994910731
16,0.9415584206581116,0.14511868357658386,0.617559552192688,1.2264155149459839,0.612519276773276
