epoca,accuracy,loss,val_accuracy,val_loss,val_balanced_accuracy
1,0.5727813839912415,1.1057589054107666,0.3452380895614624,1.678419589996338,0.5225420664262583
2,0.7094155550003052,0.8013770580291748,0.46875,1.133697509765625,0.552444467458761
3,0.7297077775001526,0.697606086730957,0.4985119104385376,1.100627064704895,0.560038141663347
4,0.7578462958335876,0.6293403506278992,0.5357142686843872,1.0539041757583618,0.5817827437558598
5,0.775703489780426,0.5893797278404236,0.5580357313156128,1.030003309249878,0.6013565569705708
6,0.7808441519737244,0.5663871765136719,0.5758928656578064,0.9788417816162109,0.6122948415235988
7,0.7775974273681641,0.5537906885147095,0.5580357313156128,1.0299700498580933,0.5965881184389791
8,0.790043294429779,0.5277028679847717,0.5803571343421936,0.9722684025764465,0.6190039257675046
9,0.7962662577629089,0.5184336304664612,0.5952380895614624,0.9393118619918823,0.633963688157472
10,0.8116883039474487,0.49077141284942627,0.601190447807312,0.9393364191055298,0.6386620334829082
11,0.8103355169296265,0.4791896343231201,0.5997023582458496,0.9360724091529846,0.6411305472493966
12,0.8154761791229248,0.4680900275707245,0.5892857313156128,0.9699944853782654,0.6376483076349264
13,0.8246753215789795,0.4593599736690521,0.5952380895614624,0.9370450377464294,0.6400577787202688
14,0.8252164721488953,0.4533317983150482,0.5967261791229248,0.9209574460983276,0.642310030972521
15,0.8246753215789795,0.4503891170024872,0.5892857313156128,0.9535907506942749,0.6456688426155003
16,0.8327922224998474,0.4250604510307312,0.6339285969734192,0.8606345653533936,0.6706541709887005
17,0.8365800976753235,0.42582008242607117,0.6041666865348816,0.9052138328552246,0.6526080700248938
18,0.8395562767982483,0.42196786403656006,0.613095223903656,0.887053906917572,0.6575956011969637
19,0.8376623392105103,0.40498048067092896,0.6294642686843872,0.8478475213050842,0.6662816334977396
20,0.8484848737716675,0.40379297733306885,0.6041666865348816,0.9208961725234985,0.6582443857396719
21,0.8509199023246765,0.39851391315460205,0.6279761791229248,0.8320144414901733,0.6550932965688759
22,0.8395562767982483,0.4039747416973114,0.6041666865348816,0.9214237928390503,0.6568233886827647
23,0.8438853025436401,0.39384469389915466,0.636904776096344,0.8256757855415344,0.6586598306840384
24,0.8479437232017517,0.3849996030330658,0.6101190447807312,0.8960314393043518,0.6568486405023112
25,0.8533549904823303,0.38285332918167114,0.625,0.8514147400856018,0.6619090960067786
26,0.8560606241226196,0.3741270899772644,0.632440447807312,0.8731425404548645,0.670738465489393
27,0.852543294429779,0.37084585428237915,0.6517857313156128,0.8254390954971313,0.6801714584848214
28,0.8633658289909363,0.36891645193099976,0.6264880895614624,0.8774988055229187,0.671676435878735
29,0.8617424368858337,0.37074339389801025,0.6264880895614624,0.8762096166610718,0.6626926786892726
30,0.864989161491394,0.3693111836910248,0.65625,0.818267285823822,0.6888069871465042
31,0.8641774654388428,0.35838502645492554,0.6294642686843872,0.8465428948402405,0.6648606364408323
32,0.8663420081138611,0.36406436562538147,0.6383928656578064,0.8132818937301636,0.6736533839356053
33,0.8636363744735718,0.36170706152915955,0.6309523582458496,0.8552262187004089,0.6713282073509553
34,0.8628246784210205,0.3528512418270111,0.6264880895614624,0.836514949798584,0.6712186610307164
35,0.8663420081138611,0.34765857458114624,0.6473214030265808,0.8087950348854065,0.6786409151076751
36,0.8590368032455444,0.3538574278354645,0.65625,0.8091669678688049,0.6869282152415782
37,0.8682359457015991,0.34494999051094055,0.6383928656578064,0.8463307619094849,0.6792896996503833
38,0.8633658289909363,0.34993043541908264,0.6458333134651184,0.8181775212287903,0.6815672037221822
39,0.8709415793418884,0.3459438383579254,0.65625,0.8092179298400879,0.6906857590514303
40,0.8709415793418884,0.35000139474868774,0.6205357313156128,0.8791651129722595,0.6711934092111697
41,0.8722943663597107,0.3361142873764038,0.6696428656578064,0.7845185399055481,0.6906519681898309
42,0.8658008575439453,0.34490084648132324,0.6458333134651184,0.8210175037384033,0.6834459756271082
43,0.8720238208770752,0.3433663249015808,0.6220238208770752,0.8914446234703064,0.6686772229318304
44,0.8739177584648132,0.3408038914203644,0.6696428656578064,0.7742070555686951,0.6962882839046088
45,0.8706709742546082,0.332339346408844,0.6651785969734192,0.8008052110671997,0.6942522931665928
46,0.8720238208770752,0.3323529362678528,0.6428571343421936,0.8256363868713379,0.6813256903883994
47,0.8671537041664124,0.33641481399536133,0.663690447807312,0.7745002508163452,0.6840271784466175
48,0.8725649118423462,0.33748364448547363,0.648809552192688,0.8102839589118958,0.6832297141128721
49,0.8801407217979431,0.3323107957839966,0.65625,0.7948497533798218,0.6826652240708563
50,0.8820346593856812,0.32287660241127014,0.6577380895614624,0.794329047203064,0.6835441517790524
51,0.8752705454826355,0.32602325081825256,0.644345223903656,0.8256234526634216,0.6783994017738925
52,0.8709415793418884,0.3240790367126465,0.648809552192688,0.8365381956100464,0.681350942207946
53,0.8741883039474487,0.32952696084976196,0.6622023582458496,0.7988303303718567,0.6926374552887539
54,0.8806818127632141,0.32145848870277405,0.6651785969734192,0.7854958772659302,0.6891214248126843
55,0.8844696879386902,0.31096887588500977,0.6458333134651184,0.8292685151100159,0.6825304259310707
56,0.8787878751754761,0.3162862956523895,0.6651785969734192,0.7903510332107544,0.6891214248126843
