epoca,loss,mae,val_loss,val_mae
1,1.666508436203003,0.9286854863166809,1.238741397857666,0.8177261352539062
2,1.1869369745254517,0.8040330410003662,0.7174749970436096,0.6143050193786621
3,0.9370020031929016,0.7191858887672424,0.5743988752365112,0.5535914301872253
4,0.8782273530960083,0.6782753467559814,0.476342111825943,0.4990561306476593
5,0.7393852472305298,0.6168384552001953,0.40406376123428345,0.45685654878616333
6,0.7015041708946228,0.5969996452331543,0.33139798045158386,0.42537665367126465
7,0.5434404611587524,0.5376695990562439,0.288582444190979,0.39532575011253357
8,0.45970550179481506,0.5041173696517944,0.2495136260986328,0.369887113571167
9,0.4241088032722473,0.4625755548477173,0.21513232588768005,0.3437044620513916
10,0.379191517829895,0.44142141938209534,0.1891198605298996,0.32099542021751404
11,0.3377022445201874,0.41258078813552856,0.15827544033527374,0.2961958348751068
12,0.2910374104976654,0.38499823212623596,0.15415404736995697,0.28789710998535156
13,0.2546204626560211,0.35916346311569214,0.12423001974821091,0.2597939968109131
14,0.20088110864162445,0.325892835855484,0.10541000962257385,0.2386324554681778
15,0.192253977060318,0.3130805790424347,0.08479171246290207,0.21236476302146912
16,0.18281444907188416,0.2944735586643219,0.08348995447158813,0.20792388916015625
17,0.15545302629470825,0.27237561345100403,0.07964544743299484,0.19939002394676208
18,0.13371433317661285,0.2605988681316376,0.0684337466955185,0.1874404400587082
19,0.10154759138822556,0.2278321385383606,0.05881902202963829,0.17002679407596588
20,0.09640597552061081,0.21576479077339172,0.049945320934057236,0.1564408540725708
21,0.08616483211517334,0.20758818089962006,0.04775858670473099,0.15806300938129425
22,0.072513647377491,0.1875065714120865,0.041619449853897095,0.14829261600971222
23,0.07164306193590164,0.18475152552127838,0.039379436522722244,0.13855674862861633
24,0.05459873378276825,0.16975781321525574,0.03719319775700569,0.13103869557380676
25,0.050162795931100845,0.15582570433616638,0.03340436890721321,0.1213882640004158
26,0.047033343464136124,0.1495370715856552,0.030163321644067764,0.12060362845659256
27,0.04289667680859566,0.1407081037759781,0.033607061952352524,0.11991097033023834
28,0.036286115646362305,0.13398917019367218,0.029778718948364258,0.11031375825405121
29,0.029435982927680016,0.12071143090724945,0.027713611721992493,0.10183704644441605
30,0.028910106047987938,0.1147511824965477,0.025232966989278793,0.09575624763965607
31,0.024387214332818985,0.10679182410240173,0.02571655996143818,0.09778464585542679
32,0.021184876561164856,0.10303155332803726,0.025648657232522964,0.09152024239301682
33,0.018245136365294456,0.09416712820529938,0.023104142397642136,0.08737333863973618
34,0.015827598050236702,0.08763553202152252,0.024241622537374496,0.08863987028598785
35,0.015744272619485855,0.08742079138755798,0.020411983132362366,0.08074682950973511
36,0.012343679554760456,0.07910401374101639,0.020610932260751724,0.07613851130008698
37,0.011845258064568043,0.07622454315423965,0.02064656838774681,0.082428477704525
38,0.010643393732607365,0.0724048838019371,0.02036583051085472,0.07470214366912842
39,0.009968472644686699,0.06973554939031601,0.020794253796339035,0.07607828825712204
40,0.00946927722543478,0.06671005487442017,0.021555352956056595,0.07790252566337585
41,0.009455396793782711,0.06782560795545578,0.02051755040884018,0.07481558620929718
42,0.007105697877705097,0.05996269732713699,0.0192033052444458,0.07085702568292618
43,0.006875119172036648,0.057709868997335434,0.01901707611978054,0.07383406907320023
44,0.006425562314689159,0.05613962933421135,0.019198613241314888,0.07176900655031204
45,0.005807830952107906,0.054036945104599,0.01926690712571144,0.07195708155632019
46,0.005887755658477545,0.053613848984241486,0.018693581223487854,0.07049964368343353
47,0.005276531912386417,0.05181149020791054,0.02008119225502014,0.0744321346282959
48,0.004857810214161873,0.049995191395282745,0.017661377787590027,0.06599286198616028
49,0.004619001876562834,0.047842204570770264,0.018446123227477074,0.07238740473985672
50,0.00465061329305172,0.04882251098752022,0.018338168039917946,0.07100585848093033
51,0.004429705440998077,0.0469348207116127,0.01894853450357914,0.06774729490280151
52,0.00468683335930109,0.048008259385824203,0.018825121223926544,0.06719809025526047
53,0.004222939722239971,0.046183906495571136,0.01812734827399254,0.06775744259357452
54,0.003870276501402259,0.04489152133464813,0.017901994287967682,0.06570763140916824
55,0.003982278984040022,0.045575860887765884,0.018039707094430923,0.06736350804567337
56,0.003820725018158555,0.04496694356203079,0.018823709338903427,0.06642302125692368
57,0.003690222278237343,0.04369762912392616,0.018115948885679245,0.0672978088259697
58,0.0036817858926951885,0.04380356892943382,0.01820683293044567,0.06666893512010574
59,0.0035587544552981853,0.04278828576207161,0.018215646967291832,0.06516922265291214
60,0.0034839222207665443,0.042160678654909134,0.017616940662264824,0.06486207246780396
