epoca,accuracy,loss,val_accuracy,val_loss,val_balanced_accuracy
1,0.5465368032455444,1.1557836532592773,0.363095223903656,1.6116902828216553,0.5608893973956927
2,0.6996753215789795,0.8273838758468628,0.4404761791229248,1.1589971780776978,0.5471030455064273
3,0.7270021438598633,0.7063762545585632,0.5208333134651184,1.0293360948562622,0.5612820106768163
4,0.7556818127632141,0.6219422817230225,0.5357142686843872,0.9898194074630737,0.5794461970029149
5,0.7602813839912415,0.5937259793281555,0.5625,0.9702248573303223,0.5963352349369015
6,0.7846320271492004,0.5572773814201355,0.569940447807312,0.9634909629821777,0.6047068295714971
7,0.7924783825874329,0.5451616644859314,0.581845223903656,0.942176103591919,0.6203406283237194
8,0.7962662577629089,0.5321725606918335,0.581845223903656,0.926785945892334,0.6240981721335714
9,0.7949134111404419,0.49822717905044556,0.5773809552192688,0.9582585692405701,0.6159204183199074
10,0.8038420081138611,0.4960798919200897,0.6071428656578064,0.8929101228713989,0.6363507385495099
11,0.8138527870178223,0.4803154170513153,0.5907738208770752,0.9397902488708496,0.6394427850391601
12,0.8157467246055603,0.47036102414131165,0.6101190447807312,0.900205135345459,0.6464915587687926
13,0.8227813839912415,0.45527413487434387,0.5892857313156128,0.9023668169975281,0.6358172082428515
14,0.8238636255264282,0.44240134954452515,0.5952380895614624,0.891761064529419,0.633963688157472
15,0.8338744640350342,0.44024696946144104,0.605654776096344,0.8916471600532532,0.651102778467294
16,0.8311688303947449,0.43199899792671204,0.5997023582458496,0.914321780204773,0.6496565295908402
17,0.8344155550003052,0.42102620005607605,0.6071428656578064,0.8869695067405701,0.6542705804155838
18,0.8292748928070068,0.4282328188419342,0.6101190447807312,0.8794469237327576,0.6507545499395144
19,0.8409090638160706,0.4110143184661865,0.6190476417541504,0.86915123462677,0.6651836131490654
20,0.8436146974563599,0.4135027527809143,0.6160714030265808,0.8740459680557251,0.6639788776063941
21,0.8395562767982483,0.4030345380306244,0.6160714030265808,0.8848916888237,0.6615946583405984
22,0.848755419254303,0.4038059711456299,0.6264880895614624,0.878333330154419,0.6745184299925495
23,0.8563311696052551,0.39428314566612244,0.6294642686843872,0.8593096137046814,0.6728811714214062
24,0.8484848737716675,0.3934903144836426,0.6279761791229248,0.8416185975074768,0.6711343665300239
25,0.8552489280700684,0.3839728534221649,0.632440447807312,0.8481119275093079,0.6755069040209847
26,0.8571428656578064,0.3825920522212982,0.6235119104385376,0.8542850017547607,0.6577780718496004
27,0.8590368032455444,0.3764306902885437,0.6205357313156128,0.8610531091690063,0.6678936402493364
28,0.8609307408332825,0.3801288902759552,0.644345223903656,0.8108721971511841,0.671342089002207
29,0.863095223903656,0.3726833164691925,0.6101190447807312,0.8698276281356812,0.6634958509388288
30,0.8566017150878906,0.37390580773353577,0.6205357313156128,0.8496794104576111,0.6702778595151323
31,0.8663420081138611,0.3578251302242279,0.6398809552192688,0.816253662109375,0.6707270953210981
32,0.8660714030265808,0.36196157336235046,0.6294642686843872,0.8375582695007324,0.6686658527635355
33,0.8633658289909363,0.35744768381118774,0.613095223903656,0.8709902167320251,0.6684581302913521
34,0.863095223903656,0.35656365752220154,0.6354166865348816,0.8332558870315552,0.6752906425067486
35,0.8617424368858337,0.3574041724205017,0.6428571343421936,0.8107389807701111,0.6784836962745849
36,0.8655303120613098,0.35905101895332336,0.6428571343421936,0.812126874923706,0.6747261524647329
37,0.8722943663597107,0.3498605787754059,0.632440447807312,0.8368951678276062,0.6698705883062065
38,0.8595778942108154,0.36035045981407166,0.6607142686843872,0.7661758661270142,0.6743918055882049
39,0.8671537041664124,0.34599772095680237,0.6190476417541504,0.8617643713951111,0.6703621540158248
40,0.8755411505699158,0.3452927768230438,0.6711309552192688,0.7760823369026184,0.6825471387085645
41,0.8706709742546082,0.34335461258888245,0.644345223903656,0.8226954340934753,0.6826147204317632
42,0.8701298832893372,0.34551677107810974,0.6383928656578064,0.8335337042808533,0.6891890065358832
43,0.873106062412262,0.33559098839759827,0.6577380895614624,0.8116945624351501,0.6877594704369233
44,0.873106062412262,0.3461034595966339,0.6517857313156128,0.8017252683639526,0.6839766748075246
45,0.8706709742546082,0.34100058674812317,0.617559552192688,0.8653826713562012,0.6714096707254059
46,0.8709415793418884,0.33910390734672546,0.6473214030265808,0.8004642724990845,0.6753411461458416
47,0.8728355169296265,0.3383282423019409,0.6205357313156128,0.8614296913146973,0.6759141752299103
48,0.8676947951316833,0.3434598445892334,0.668154776096344,0.8017199635505676,0.6949992538612452
49,0.8736472129821777,0.33093005418777466,0.6532738208770752,0.851104736328125,0.6909020205656663
50,0.8682359457015991,0.33648234605789185,0.648809552192688,0.809893012046814,0.6747514042842794
51,0.885551929473877,0.32156381011009216,0.6607142686843872,0.826697587966919,0.6913007527325391
52,0.8809523582458496,0.32278499007225037,0.6547619104385376,0.8156336545944214,0.6879757319511594
53,0.8795995712280273,0.32170388102531433,0.6696428656578064,0.767333984375,0.6920729652467381
54,0.8787878751754761,0.325191468000412,0.65625,0.8017545342445374,0.6902279842034115
55,0.8698592782020569,0.3308950960636139,0.6726190447807312,0.7914695739746094,0.7003350135610947
56,0.875,0.3293297290802002,0.6547619104385376,0.825035810470581,0.6827971910843998
57,0.8795995712280273,0.32444751262664795,0.668154776096344,0.7842910289764404,0.6912417100513931
58,0.8725649118423462,0.3205178380012512,0.6622023582458496,0.7998784184455872,0.68461692030818
59,0.8798701167106628,0.32399389147758484,0.6622023582458496,0.7875402569770813,0.6860379173650872
60,0.8817640542984009,0.31355929374694824,0.632440447807312,0.8557560443878174,0.678806672982818
