epoca,accuracy,loss,val_accuracy,val_loss,val_balanced_accuracy
1,0.5698052048683167,1.0967556238174438,0.394345223903656,1.4810028076171875,0.5977365325806946
2,0.7272727489471436,0.7155340909957886,0.4925595223903656,1.1037243604660034,0.6325958564902341
3,0.7702922224998474,0.5878428220748901,0.5520833134651184,0.9172722697257996,0.6376222262902514
4,0.7992424368858337,0.516608476638794,0.5729166865348816,0.865817129611969,0.6619836811631509
5,0.8062770366668701,0.4896310269832611,0.605654776096344,0.8061617612838745,0.6947790576081783
6,0.814393937587738,0.46659421920776367,0.6071428656578064,0.7932893633842468,0.7051618138542685
7,0.8233225345611572,0.4432287812232971,0.6339285969734192,0.7434617280960083,0.7155124166820106
8,0.8373917937278748,0.41431620717048645,0.601190447807312,0.7928118705749512,0.7017856605169257
9,0.8290043473243713,0.40579405426979065,0.625,0.7558276057243347,0.7200001279031006
10,0.8444263935089111,0.39145714044570923,0.617559552192688,0.7736049890518188,0.711021596705003
11,0.8417207598686218,0.38090798258781433,0.6666666865348816,0.7002533674240112,0.7371359458074563
12,0.8522727489471436,0.3699808716773987,0.6413690447807312,0.7229659557342529,0.7244556857058426
13,0.8547077775001526,0.3649461567401886,0.6279761791229248,0.7411671876907349,0.7168990106428703
14,0.860660195350647,0.3535788059234619,0.6458333134651184,0.7052226662635803,0.7206007395463864
15,0.8622835278511047,0.34251874685287476,0.625,0.7427166104316711,0.7183890373541892
16,0.8690476417541504,0.3314511477947235,0.6592261791229248,0.6923211216926575,0.732937792994694
17,0.8674242496490479,0.3305051922798157,0.6532738208770752,0.7007659077644348,0.7391400275151545
18,0.8782467246055603,0.3113923966884613,0.648809552192688,0.7031412720680237,0.7334342169039402
19,0.8833874464035034,0.30369195342063904,0.6339285969734192,0.7277434468269348,0.7282071991148394
20,0.887445867061615,0.2945847511291504,0.6770833134651184,0.6579179167747498,0.7414199002835452
21,0.8896104097366333,0.2981165051460266,0.6398809552192688,0.7145413160324097,0.7204115051326004
22,0.8879870176315308,0.289164662361145,0.6666666865348816,0.6683467030525208,0.7307621079603427
23,0.8920454382896423,0.2834193706512451,0.6860119104385376,0.6493592858314514,0.7432707647353031
24,0.8996211886405945,0.2792602479457855,0.6458333134651184,0.7093203067779541,0.7301438652299241
25,0.8971861600875854,0.2744799852371216,0.6770833134651184,0.6580641865730286,0.7366395218982099
26,0.897456705570221,0.27164947986602783,0.6726190447807312,0.661230742931366,0.7373075491341092
27,0.8939393758773804,0.2688780426979065,0.6577380895614624,0.6953142285346985,0.733673990806787
28,0.8979978561401367,0.267699658870697,0.6532738208770752,0.676846981048584,0.7311903612933953
29,0.9058441519737244,0.2600224018096924,0.6785714030265808,0.648910403251648,0.7502444592421226
30,0.9074675440788269,0.2576879560947418,0.6339285969734192,0.7311221361160278,0.7313764869512634
31,0.9074675440788269,0.25665485858917236,0.7098214030265808,0.6148797869682312,0.7615028632086109
32,0.9066558480262756,0.25645139813423157,0.6651785969734192,0.6633172035217285,0.7426525220048846
33,0.9044913649559021,0.25112488865852356,0.680059552192688,0.6536456942558289,0.7478442776197198
34,0.9180194735527039,0.23807702958583832,0.6607142686843872,0.6862614154815674,0.7433029181536512
35,0.9090909361839294,0.2446776181459427,0.699404776096344,0.6273663640022278,0.760370565481813
36,0.9163960814476013,0.23937948048114777,0.7053571343421936,0.6084897518157959,0.7574081431463079
37,0.9115259647369385,0.2421262562274933,0.7083333134651184,0.6164081692695618,0.7606279704717928
38,0.9115259647369385,0.24310816824436188,0.6889880895614624,0.6356573700904846,0.7528996920821673
39,0.9172077775001526,0.23217444121837616,0.6964285969734192,0.6222513914108276,0.7555043854331513
40,0.9196428656578064,0.22522783279418945,0.6964285969734192,0.6243757605552673,0.7586736732695755
41,0.9204545617103577,0.22486339509487152,0.6889880895614624,0.6304749250411987,0.7481545758710979
42,0.9215368032455444,0.22061342000961304,0.7157738208770752,0.5770691633224487,0.7505378813899478
43,0.9199134111404419,0.22187522053718567,0.6711309552192688,0.6712234616279602,0.7428064942444049
