epoca,accuracy,loss,val_accuracy,val_loss,val_balanced_accuracy
1,0.5189393758773804,1.2161997556686401,0.3586309552192688,1.5908377170562744,0.5504704418547859
2,0.6682900190353394,0.8894733190536499,0.412202388048172,1.2066129446029663,0.511653600562426
3,0.6929112672805786,0.7639389634132385,0.488095223903656,1.0295822620391846,0.5262284667734458
4,0.7332251071929932,0.6771411895751953,0.5148809552192688,0.9754449725151062,0.5487061479093595
5,0.7410714030265808,0.6472831964492798,0.5491071343421936,0.94256991147995,0.5654884706493489
6,0.7629870176315308,0.6074343323707581,0.5669642686843872,0.941442608833313,0.5900359333848781
7,0.7735389471054077,0.5946349501609802,0.5907738208770752,0.9054742455482483,0.6099355544340642
8,0.7792207598686218,0.5763989090919495,0.5833333134651184,0.8940533399581909,0.614257588285932
9,0.7803030014038086,0.5394005179405212,0.5729166865348816,0.925194501876831,0.6008760417859621
10,0.7905844449996948,0.5369306802749634,0.5997023582458496,0.8538424372673035,0.6168018575110601
11,0.7997835278511047,0.5205079317092896,0.581845223903656,0.9055224657058716,0.6091633419198653
12,0.8003246784210205,0.5058284997940063,0.6041666865348816,0.8731297850608826,0.627316158077669
13,0.8049242496490479,0.49315735697746277,0.5833333134651184,0.8798184394836426,0.6175573572477654
14,0.8089826703071594,0.4775429666042328,0.6026785969734192,0.857330322265625,0.6250639058254167
15,0.8195346593856812,0.47537603974342346,0.5997023582458496,0.8629498481750488,0.6370582461300788
16,0.8206169009208679,0.4650431275367737,0.5922619104385376,0.8864810466766357,0.6225448884198351
17,0.8192640542984009,0.4547695219516754,0.601190447807312,0.8704899549484253,0.6482465830589424
18,0.8189935088157654,0.4635678231716156,0.6205357313156128,0.8475874066352844,0.6496590410737969
19,0.8290043473243713,0.44374966621398926,0.6086309552192688,0.8431183695793152,0.6467665433208892
20,0.8322510719299316,0.444916695356369,0.5952380895614624,0.8561021089553833,0.6392852465627844
21,0.8314393758773804,0.4301280677318573,0.6101190447807312,0.8644968867301941,0.653691889079031
22,0.8276515007019043,0.43585339188575745,0.6116071343421936,0.8528954386711121,0.660159459989154
23,0.8422619104385376,0.4219653010368347,0.6086309552192688,0.8394137620925903,0.6382882334922965
24,0.8371211886405945,0.42224425077438354,0.605654776096344,0.829810619354248,0.6319526295957171
25,0.8449675440788269,0.41150999069213867,0.6145833134651184,0.8294754028320312,0.6373979356158056
26,0.8482142686843872,0.4111863076686859,0.6101190447807312,0.8329598307609558,0.6386617138396228
27,0.8449675440788269,0.40227803587913513,0.613095223903656,0.8488056659698486,0.6492603089069241
28,0.8517315983772278,0.40662267804145813,0.6458333134651184,0.8001214861869812,0.6576962888318646
29,0.8517315983772278,0.40026623010635376,0.605654776096344,0.8613021373748779,0.6446462580821805
30,0.8471320271492004,0.3971850574016571,0.6101190447807312,0.841401219367981,0.6508975674780674
31,0.8547077775001526,0.3827536702156067,0.6145833134651184,0.8049504160881042,0.6359769385588984
32,0.8557900190353394,0.38705310225486755,0.6101190447807312,0.8178637623786926,0.6353619448777894
33,0.8555194735527039,0.38238525390625,0.601190447807312,0.8674436211585999,0.6515463520207757
34,0.8547077775001526,0.3800176680088043,0.6145833134651184,0.8262358903884888,0.6486705670453617
