epoca,accuracy,loss,val_accuracy,val_loss,val_balanced_accuracy
1,0.6580086350440979,0.8023508787155151,0.4776785671710968,0.9190179705619812,0.5953409696813694
2,0.8690476417541504,0.3221580982208252,0.6190476417541504,0.978789210319519,0.6958208461269741
3,0.9220778942108154,0.19901256263256073,0.757440447807312,0.7299836277961731,0.7469410952040513
4,0.9572510719299316,0.12967512011528015,0.7395833134651184,0.6267915368080139,0.779765516311509
5,0.9594155550003052,0.11353108286857605,0.7946428656578064,0.5154259204864502,0.806104362002014
6,0.9691558480262756,0.08751006424427032,0.761904776096344,0.7863226532936096,0.773256092295588
7,0.9734848737716675,0.06506741046905518,0.7976190447807312,0.7923542261123657,0.7998163258182268
8,0.9824134111404419,0.04895089566707611,0.851190447807312,0.8315161466598511,0.8157371530883757
9,0.9832251071929932,0.04555833339691162,0.793154776096344,0.802243709564209,0.8179771449594232
10,0.9829545617103577,0.043437693268060684,0.793154776096344,0.9279448390007019,0.7924817935709685
11,0.9859307408332825,0.045453254133462906,0.8169642686843872,0.44434094429016113,0.8537196664251607
12,0.9940476417541504,0.023642798885703087,0.8422619104385376,0.6299930214881897,0.8297856210801363
13,0.9926947951316833,0.021625787019729614,0.8348214030265808,0.5660203099250793,0.8319613061144876
14,0.9921537041664124,0.024219734594225883,0.793154776096344,0.8163650035858154,0.8211993260572457
15,0.9975649118423462,0.012394722551107407,0.8348214030265808,0.6782582402229309,0.8463024412704936
16,0.998106062412262,0.008878274820744991,0.7901785969734192,0.8583272099494934,0.8242475500560774
17,0.9951298832893372,0.013003557920455933,0.788690447807312,1.1223093271255493,0.812271334348209
18,0.9954004287719727,0.012193482369184494,0.8526785969734192,0.623776912689209,0.854855072907876
19,0.9983766078948975,0.007111407350748777,0.824404776096344,0.6928943395614624,0.8467636030054742
20,0.9972943663597107,0.009269374422729015,0.7782738208770752,1.1666086912155151,0.8063762893232088
21,0.9962121248245239,0.010317125357687473,0.8184523582458496,0.9156401753425598,0.8354201523592394
22,0.9972943663597107,0.008895380422472954,0.824404776096344,0.6992243528366089,0.8452230368050943
23,0.9983766078948975,0.005584207363426685,0.7976190447807312,1.0175517797470093,0.8300567934177511
24,0.9972943663597107,0.008888398297131062,0.8258928656578064,0.8221903443336487,0.8460802984547796
25,0.9986472129821777,0.00678046140819788,0.8407738208770752,0.9497855305671692,0.8432342324121912
26,0.9989177584648132,0.00408054469153285,0.8467261791229248,0.9357531666755676,0.8545776830584261
27,0.9975649118423462,0.00852271355688572,0.7544642686843872,1.4208570718765259,0.7993160381694828
28,0.9929653406143188,0.016123155131936073,0.855654776096344,0.844947338104248,0.8485317745498232
29,0.9794372320175171,0.06635447591543198,0.769345223903656,1.0335352420806885,0.798151587024337
30,0.9948592782020569,0.014954274520277977,0.863095223903656,0.341854453086853,0.8909729544452678
31,0.9991883039474487,0.00592030817642808,0.863095223903656,0.4197145104408264,0.8781723854896418
32,0.9994588494300842,0.0038317532744258642,0.8154761791229248,0.7637580037117004,0.8512689453136971
33,0.9997294545173645,0.00286424090154469,0.8392857313156128,0.6883002519607544,0.8599226559292014
34,0.9991883039474487,0.001785321393981576,0.8482142686843872,0.5544238090515137,0.8904734217801038
35,0.9991883039474487,0.002065236447378993,0.8392857313156128,0.5964118242263794,0.8774683410958969
36,1.0,0.0006840053829364479,0.8526785969734192,0.5915869474411011,0.877057718849977
37,1.0,0.0008010227466002107,0.836309552192688,0.6194080114364624,0.8726021610472351
38,1.0,0.00042899101390503347,0.8392857313156128,0.6588059663772583,0.8758748816341185
39,1.0,0.0004038452752865851,0.8497023582458496,0.6635656952857971,0.8705980793395368
40,1.0,0.00032347594969905913,0.8571428656578064,0.6440053582191467,0.8747962321522992
41,1.0,0.0002648346417117864,0.8601190447807312,0.6607450842857361,0.8844427905862963
42,1.0,0.0003914316475857049,0.855654776096344,0.6759541034698486,0.8803304394368604
