epoca,regimen,n_muestras,dimension,numero_condicion,autovalor_minimo,saltos_cholesky
0,0,2019,1201,7025.161775513001,0.010231454969656986,0
1,1,1090,1201,4324.523193155018,0.03438699999019312,0
2,2,587,1201,1427.449510873111,0.2692419078030692,0
