3.297140,2.195317,2.279018,2.902775,2.191633,1.411918,2.391579,1.453604,4.146390,3.320208,1.345883,2.149454,4.542660,2.667545,4.135343,2.012675,3.620870,2.195427,2.827065,3.258930,2.830767,3.650045,2.063708,1.714006,1.637170,4.873417,2.840076,1.578881,2.979726,1.229006,2.208264,2.132007
3.341616,3.112524,2.424468,3.027104,2.563787,2.450689,3.181317,1.920360,3.721229,3.095683,1.947534,2.706403,4.336155,2.054388,3.148382,1.901007,3.497145,2.851956,2.545913,3.176431,2.411174,3.270298,2.210018,2.128930,1.983411,4.124469,2.578719,1.614442,3.087984,1.882381,2.192538,3.100610
3.081458,2.691585,2.484492,3.327029,2.744531,2.692538,3.161832,2.309798,4.268645,3.362259,2.104676,2.329931,4.572849,2.602011,4.227873,2.229837,3.243889,2.606607,2.409195,3.178152,3.129562,3.338891,2.172612,2.794489,2.658388,4.623730,2.891332,2.332281,3.399871,2.334359,2.663560,3.423149
2.739990,3.001682,2.496866,3.072679,2.585758,2.520133,2.939384,2.605427,3.667873,2.998760,2.189360,2.529237,3.861661,2.505349,3.778256,2.410504,3.238765,2.687165,2.414936,3.017472,3.175402,3.201461,2.246913,2.826600,2.377722,4.383819,3.174963,2.308122,3.049032,2.792683,2.393734,3.320508
2.965900,3.064092,2.636872,3.028526,2.561985,2.357459,2.909899,2.494286,3.421543,2.978718,2.352050,2.482685,3.566082,2.829905,3.744818,2.206576,3.198666,2.513116,2.463675,2.961649,2.904186,3.310473,2.588365,2.744833,2.471113,4.143785,2.628744,2.259307,3.032821,2.394873,2.474788,3.281753
2.816553,2.640719,2.404631,2.597012,2.528128,2.453828,2.645865,2.525832,3.008366,2.717456,2.314646,2.440607,3.458345,2.412186,3.212529,2.484511,3.021759,2.435578,2.190314,2.825320,2.701431,2.965793,2.417508,2.690566,2.471409,3.840865,2.571330,2.161733,2.983824,2.518869,2.609088,2.873840
2.450575,2.555412,2.276232,2.525010,2.121178,2.287705,2.421643,2.239520,3.141552,2.419145,2.256437,2.277262,3.415351,2.341467,3.168328,2.294931,2.864112,2.403951,2.126402,2.863040,2.511502,3.019600,2.507205,2.350416,2.140444,3.137036,2.453124,2.147592,2.794543,2.141886,2.178224,2.859748
2.671891,2.471764,2.233405,2.584101,2.250925,2.275050,2.583089,2.525788,2.871197,2.574685,2.171171,2.437316,3.072392,2.254949,2.651407,2.241925,2.669086,2.248835,2.193964,2.453786,2.566943,2.533940,2.324622,2.619764,2.231538,2.739512,2.650466,2.141549,2.673051,2.205802,2.255251,2.552017
2.349694,2.206675,2.174903,2.412237,2.113629,2.236345,2.252273,2.284381,2.663295,2.346889,2.107377,2.175858,2.789165,2.258787,2.824309,2.109597,2.479204,2.456842,2.189761,2.553087,2.320899,2.579093,2.206010,2.262245,2.187930,2.613989,2.542068,2.166843,2.601635,2.036468,2.234488,2.480681
2.268502,2.425338,2.225779,2.391469,2.321884,2.077205,2.339514,2.242083,2.585093,2.219690,1.985910,2.122649,2.696953,2.094373,2.578376,2.031323,2.412735,2.184869,2.080453,2.441477,2.216338,2.497755,2.034713,2.188194,1.980300,2.474140,2.497228,2.008637,2.323152,2.051344,2.078268,2.362883
2.324754,2.144843,2.095073,2.269913,2.150271,2.149491,2.273606,2.211799,2.572580,2.452488,1.964596,2.166511,2.404772,2.172377,2.518713,2.033581,2.350570,2.207827,1.871923,2.255900,2.253157,2.497946,2.175056,2.336923,2.110050,2.684097,2.341457,2.044573,2.358247,1.927050,2.219534,2.320240
1.978947,2.115391,2.097026,2.185236,2.141718,2.028034,2.191248,1.982103,2.394997,2.201913,1.920137,2.050845,2.301223,2.024694,2.409365,2.042309,2.429601,2.093139,2.216950,2.109953,2.186245,2.224668,2.014321,2.111305,1.902258,2.385781,2.442218,1.868097,2.480159,1.976339,2.157576,2.245011
2.106885,1.990993,1.888899,2.185453,1.901356,2.039409,2.066169,1.997047,2.302405,2.203167,1.838382,1.885505,2.277158,1.953683,2.366991,2.008846,2.438086,1.992043,1.811672,2.146622,2.253732,2.238966,2.203250,2.075268,1.837953,2.256654,2.301505,1.739530,2.288379,1.964333,2.080697,2.209229
2.060224,1.957832,1.877377,2.209479,1.960124,1.797609,2.189250,1.915248,2.380264,2.116979,1.814991,1.849358,2.456574,1.936922,2.326626,1.782936,2.349332,2.063432,1.817684,2.241774,2.061818,2.222512,2.066921,1.966503,1.985095,2.170548,2.304369,1.859970,2.500044,1.854408,1.993053,2.287919
1.844227,1.906977,1.699795,2.064203,1.996266,1.858534,1.996155,1.793848,2.335794,2.018647,1.788417,1.778987,2.156015,1.816236,2.301028,1.842501,2.119614,1.990387,1.816738,2.034089,1.954746,2.018876,1.861636,1.939580,1.986632,2.265182,2.236292,1.754609,2.104942,1.577818,1.809076,2.035723
1.789324,1.837106,1.812781,1.884420,1.764025,1.674170,1.986459,1.746897,2.114416,2.032936,1.674933,1.696574,1.989877,1.901818,2.383640,1.737225,2.286741,1.712508,1.696659,2.055361,1.840531,2.026347,1.924007,1.740725,1.750462,2.110489,1.960771,1.684627,2.099241,1.705160,1.872716,1.988469
1.764384,1.761525,1.807525,1.843495,1.741921,1.833365,2.017605,1.678959,1.913206,1.926003,1.707686,1.776694,2.234873,1.764593,2.130447,1.887011,2.117383,1.800938,1.643346,2.000775,1.851044,1.910984,1.814647,1.927884,1.836246,2.112767,2.039508,1.724885,1.878556,1.725839,1.612770,2.097569
1.753627,1.691321,1.672715,1.829827,1.700669,1.654947,1.860472,1.701166,1.979042,1.945684,1.636409,1.785655,1.967470,1.674810,2.101084,1.708639,1.995485,1.779089,1.632443,1.906365,1.739560,2.045604,1.950529,1.786023,1.782031,2.057983,1.948282,1.721552,1.836655,1.656350,1.779353,1.857266
1.658734,1.671818,1.558794,1.773211,1.721526,1.831622,1.798247,1.670967,1.861471,1.843389,1.588088,1.788600,2.010160,1.795001,2.217503,1.724595,2.090856,1.733214,1.600887,1.912618,1.709573,1.800750,1.735341,1.738392,1.822735,2.040504,1.929638,1.637570,1.967273,1.523371,1.782895,1.949550
1.648877,1.620499,1.690022,1.743405,1.749332,1.749950,1.685446,1.623695,1.826117,1.904791,1.707783,1.613352,1.878410,1.703432,1.993730,1.592350,1.948804,1.814969,1.652927,1.891396,1.889494,1.709822,1.651839,1.647841,1.629657,1.934801,1.898154,1.637109,1.862094,1.574722,1.764732,1.959641
1.504592,1.655774,1.508882,1.717300,1.648274,1.635441,1.786973,1.596172,1.812734,1.783746,1.544264,1.718871,1.954296,1.685329,2.052998,1.668831,2.060677,1.569790,1.552945,2.034236,1.541473,1.782079,1.631304,1.741420,1.639820,2.185923,1.930642,1.547614,1.863836,1.556131,1.651781,1.780634
1.550330,1.595517,1.549989,1.759006,1.560774,1.672565,1.657208,1.584073,1.853933,1.794069,1.439665,1.692500,1.864199,1.554828,2.006311,1.692138,1.879348,1.648566,1.591714,1.808916,1.513958,1.850284,1.581174,1.657021,1.589162,1.882446,1.756643,1.426544,1.617658,1.448726,1.757877,1.702530
1.610960,1.638305,1.504415,1.702413,1.594347,1.650631,1.677181,1.610766,1.803764,1.766923,1.477487,1.545726,1.888519,1.634935,1.849201,1.479107,1.944728,1.548391,1.406635,1.801569,1.727710,1.716590,1.664749,1.535568,1.559658,1.827542,1.791114,1.514809,1.778862,1.558537,1.598775,1.830834
1.579607,1.654170,1.523642,1.594933,1.526141,1.502631,1.593428,1.539560,1.681969,1.752158,1.453613,1.521428,1.756542,1.609404,2.004678,1.576079,1.853737,1.567932,1.611238,1.630322,1.532835,1.659144,1.497589,1.627659,1.515069,1.838993,1.739236,1.435727,1.690825,1.437971,1.515028,1.656906
1.389442,1.485882,1.407753,1.647375,1.540939,1.420818,1.625972,1.428609,1.863271,1.697382,1.335684,1.484207,1.646160,1.616720,1.941265,1.569280,1.806276,1.536130,1.349225,1.832181,1.520169,1.712295,1.561565,1.590519,1.476966,1.848039,1.897876,1.377864,1.707392,1.450402,1.400807,1.754822
1.548622,1.470331,1.457325,1.533910,1.531942,1.470533,1.583958,1.336312,1.788357,1.673187,1.451590,1.427882,1.616435,1.436072,1.638028,1.411953,1.814987,1.585446,1.418849,1.871963,1.521477,1.621697,1.557228,1.537177,1.473734,1.697875,1.659521,1.489611,1.610558,1.492506,1.638677,1.780519
