epoca,beta,perdida_total,perdida_reconstruccion,perdida_kl,val_perdida_total,val_perdida_reconstruccion,val_perdida_kl,unidades_activas
0,0.06666666666666667,1011.8795776367188,1007.447265625,63.13761901855469,1557.9775390625,1441.57373046875,83.85340118408203,32
1,0.13333333333333333,833.2406005859375,822.3413696289062,79.48263549804688,1431.9754638671875,1318.2960205078125,97.66595458984375,32
2,0.2,770.7085571289062,752.60009765625,89.29873657226562,1340.1580810546875,1223.166259765625,110.5946044921875,32
3,0.26666666666666666,717.9614868164062,693.8078002929688,89.87623596191406,1289.8031005859375,1170.4000244140625,107.73896026611328,32
4,0.3333333333333333,682.5062866210938,653.0159912109375,87.69017791748047,1255.400146484375,1132.1185302734375,105.8929672241211,32
5,0.4,657.3783569335938,623.4733276367188,83.92896270751953,1240.668212890625,1114.8402099609375,99.42009735107422,32
6,0.4666666666666667,638.3770751953125,600.67041015625,80.32928466796875,1219.0145263671875,1090.4036865234375,94.49329376220703,32
7,0.5333333333333333,623.2756958007812,582.4334716796875,77.05994415283203,1208.412109375,1076.18994140625,91.72530364990234,32
8,0.6,611.6574096679688,566.5390014648438,74.66487884521484,1200.117431640625,1065.7528076171875,85.64938354492188,32
9,0.6666666666666666,603.613525390625,555.84619140625,72.01802062988281,1197.56494140625,1059.808349609375,84.03437805175781,32
10,0.7333333333333333,592.65087890625,541.9634399414062,69.06202697753906,1199.1856689453125,1057.2083740234375,81.69786834716797,32
11,0.8,587.9509887695312,533.9133911132812,67.07760620117188,1188.919921875,1046.0189208984375,78.08747863769531,32
12,0.8666666666666667,579.0973510742188,522.5392456054688,65.09139251708984,1195.841552734375,1048.2476806640625,76.94013214111328,32
13,0.9333333333333333,571.8424072265625,512.92041015625,63.278724670410156,1190.439208984375,1039.2618408203125,75.44833374023438,32
14,1.0,564.9794311523438,502.5765075683594,62.19401931762695,1192.904541015625,1040.6248779296875,72.15204620361328,32
15,1.0666666666666667,561.24853515625,497.5382995605469,59.84728240966797,1183.26904296875,1030.1861572265625,69.44430541992188,32
16,1.1333333333333333,554.5885009765625,487.5191955566406,58.878841400146484,1188.454833984375,1030.2674560546875,69.61405944824219,32
17,1.2,551.2109375,482.4173889160156,57.47945022583008,1187.131591796875,1027.7806396484375,67.15838623046875,32
18,1.2666666666666666,548.0875854492188,477.0614318847656,56.01378631591797,1188.074951171875,1023.9683227539062,67.65929412841797,32
19,1.3333333333333333,542.6945190429688,469.3011779785156,55.033355712890625,1188.2955322265625,1024.5489501953125,64.34712982177734,32
20,1.4,541.4143676757812,465.77484130859375,54.136573791503906,1191.7369384765625,1022.3524780273438,65.02883911132812,32
21,1.4666666666666666,536.535888671875,459.1669921875,52.93879699707031,1185.039794921875,1014.5493774414062,63.21388626098633,32
22,1.5333333333333334,535.2557983398438,456.1548767089844,51.58015441894531,1187.5865478515625,1013.9160766601562,62.45491409301758,32
23,1.6,533.4519653320312,452.30169677734375,50.792850494384766,1185.5780029296875,1011.9111328125,60.45425033569336,32
24,1.6666666666666667,532.0042724609375,448.72869873046875,50.03971862792969,1189.5582275390625,1012.15185546875,60.27694320678711,32
25,1.7333333333333334,531.4574584960938,446.27301025390625,49.212459564208984,1189.9442138671875,1008.7841796875,59.906707763671875,32
26,1.8,528.6957397460938,441.9107360839844,48.120643615722656,1188.2266845703125,1007.9642944335938,57.528324127197266,32
27,1.8666666666666667,528.92138671875,440.8021240234375,47.15150451660156,1185.3570556640625,1003.3525390625,56.63090133666992,32
28,1.9333333333333333,526.7477416992188,436.3807678222656,46.673095703125,1187.954833984375,1003.07666015625,55.995845794677734,32
29,2.0,525.9035034179688,434.2243957519531,45.87199401855469,1190.1112060546875,1004.1751098632812,54.92767333984375,32
30,2.0,521.3595581054688,430.33148193359375,45.43595504760742,1191.3551025390625,1004.02880859375,55.73757553100586,32
31,2.0,518.9141845703125,427.98248291015625,45.413551330566406,1186.4671630859375,999.0945434570312,55.872711181640625,32
32,2.0,516.4453735351562,425.8135986328125,45.335182189941406,1186.0621337890625,999.2748413085938,55.60086441040039,32
33,2.0,510.4037780761719,419.8374328613281,45.39580154418945,1179.46142578125,995.08154296875,54.61456298828125,32
34,2.0,509.6744384765625,419.3467712402344,45.17610168457031,1181.3131103515625,995.4125366210938,55.377166748046875,32
35,2.0,505.52020263671875,415.3943176269531,45.112117767333984,1174.8126220703125,994.2904663085938,53.460933685302734,32
36,2.0,503.49615478515625,413.4343566894531,44.99192810058594,1178.653076171875,994.2318725585938,54.88631820678711,32
37,2.0,500.0744934082031,409.3642883300781,45.41455078125,1174.866943359375,991.525390625,54.61347579956055,32
38,2.0,496.8748779296875,406.9779052734375,44.896358489990234,1174.5308837890625,990.5167846679688,54.90716552734375,32
39,2.0,495.6363525390625,405.19305419921875,45.22630310058594,1173.0206298828125,989.9580688476562,54.426631927490234,32
40,2.0,490.38916015625,400.6046142578125,44.951602935791016,1166.0565185546875,984.1331176757812,54.3227424621582,32
41,2.0,489.7804260253906,400.41583251953125,44.78348159790039,1168.7218017578125,986.0382690429688,54.77326965332031,32
42,2.0,487.1506652832031,397.5416259765625,44.882381439208984,1167.809326171875,984.9253540039062,54.74997329711914,32
43,2.0,485.50201416015625,395.2651062011719,45.13431167602539,1164.684814453125,982.6149291992188,54.67042922973633,32
44,2.0,483.7044677734375,393.66217041015625,45.1120491027832,1163.077392578125,980.1763305664062,55.33846664428711,32
45,2.0,481.04010009765625,391.2200012207031,44.9564094543457,1167.050048828125,984.2424926757812,54.85080337524414,32
46,2.0,478.5093688964844,388.9267578125,44.8199577331543,1155.0267333984375,976.0686645507812,53.537357330322266,32
47,2.0,475.7971496582031,386.0671691894531,44.93532943725586,1162.7718505859375,979.7730102539062,55.56032180786133,32
48,2.0,472.80450439453125,383.3507995605469,44.748958587646484,1157.65966796875,978.060302734375,53.37113571166992,32
49,2.0,471.700439453125,382.210205078125,44.70259475708008,1167.06884765625,985.444091796875,54.27286911010742,32
50,2.0,470.9962158203125,380.9728698730469,44.94194793701172,1162.7889404296875,980.9762573242188,54.63650131225586,32
51,2.0,466.8741455078125,377.1917724609375,44.7935905456543,1157.727294921875,977.1478881835938,54.40776062011719,32
52,2.0,466.9657287597656,377.7477111816406,44.6566276550293,1157.3907470703125,976.9873657226562,54.63046646118164,32
53,2.0,465.4502258300781,375.6175231933594,44.89118957519531,1162.0201416015625,977.4920043945312,56.05446243286133,32
54,2.0,463.6644592285156,373.84820556640625,44.925750732421875,1156.989013671875,973.946044921875,55.588314056396484,32
55,2.0,460.9815979003906,371.2112121582031,44.92110824584961,1156.055908203125,976.50537109375,54.262115478515625,32
