,f1_macro,balanced_accuracy,accuracy,recall_crisis,precision_crisis,f1_crisis,soporte_crisis,usa_futuro
hoy · lineal,0.5857744341797563,0.68151855530934,0.6074144486692015,0.7028985507246377,0.4110169491525424,0.5187165775401069,138.0,
encadenado · lineal,0.5488374535791261,0.6737930487888107,0.564638783269962,0.7909090909090909,0.3686440677966102,0.5028901734104047,110.0,
hoy · cnn_ancha,0.8222000358369739,0.8084536817707139,0.8517110266159695,0.6304347826086957,0.8613861386138614,0.7280334728033473,138.0,
encadenado · cnn_ancha,0.7181233086264592,0.7190612687307043,0.7490494296577946,0.6090909090909091,0.6633663366336634,0.6350710900473934,110.0,
directo · lineal,0.4992373627037409,0.5754228649804172,0.5218631178707225,0.5909090909090909,0.18518518518518517,0.28199566160520606,,
persistencia causal,0.7535724286235137,0.7771712719670001,0.7718631178707225,0.8,0.6376811594202898,0.7096774193548387,110,False
