variante,tarea,f1_macro,balanced_accuracy,accuracy,recall_crisis,precision_crisis,f1_crisis,soporte_crisis,conjunto,mae,rmse,sesgo,qlike,diag_predicciones_recortadas,r2
regimen,regimen,0.4992373627037409,0.5754228649804172,0.5218631178707225,0.5909090909090909,0.18518518518518517,0.28199566160520606,110.0,test,,,,,,
regimen_pesos,regimen,0.4639132855101387,0.5557110347413788,0.467680608365019,0.6727272727272727,0.17289719626168223,0.275092936802974,110.0,test,,,,,,
volatilidad,volatilidad,,,,,,,,test,0.046189729871490386,0.06456152714428907,0.0034513623903402813,0.07159539323820299,0.0,0.16405079213745066
